word,count
the,69971
of,36412
and,28853
to,26158
a,23195
in,21337
that,10594
is,10109
was,9815
he,9548
for,9489
it,8760
with,7289
as,7253
his,6996
on,6741
be,6377
at,5372
by,5306
i,5164
this,5145
had,5133
not,4610
are,4394
but,4381
from,4370
or,4206
have,3942
an,3740
they,3620
which,3561
one,3292
you,3286
were,3284
her,3036
all,3001
she,2860
there,2728
would,2714
their,2669
we,2652
him,2619
been,2472
has,2437
when,2331
who,2252
will,2245
more,2215
if,2198
no,2139
out,2097
so,1985
said,1961
what,1908
up,1890
its,1858
about,1815
into,1791
than,1790
them,1788
can,1772
only,1748
other,1702
new,1635
some,1618
could,1601
time,1598
these,1573
two,1412
may,1402
then,1380
do,1363
first,1361
any,1344
my,1318
now,1314
such,1303
like,1292
our,1252
over,1236
man,1207
me,1181
even,1170
most,1159
made,1125
also,1069
after,1069
did,1044
many,1030
before,1016
must,1013
af,996
through,971
back,966
years,950
where,937
much,937
your,923
way,908
well,897
down,895
should,888
because,883
each,877
just,872
those,850
people,847
too,834
how,834
little,831
state,807
good,806
very,796
make,794
world,787
still,782
see,772
own,772
men,763
work,762
long,752
here,750
get,749
both,730
between,730
life,715
being,712
under,707
never,697
day,687
same,686
another,684
know,683
while,680
last,676
us,675
might,672
great,665
old,661
year,658
off,639
come,630
since,628
against,627
go,626
came,622
right,613
used,611
take,610
three,610
himself,603
states,603
few,601
house,591
use,591
during,585
without,583
again,577
place,570
american,569
around,562
however,552
home,547
small,542
found,536
thought,517
went,507
say,504
part,500
once,499
general,498
high,497
upon,495
school,493
every,491
does,485
got,482
united,482
left,480
number,472
course,465
war,464
until,461
always,458
away,456
something,450
fact,447
water,445
though,440
public,438
less,437
put,437
think,433
almost,432
hand,431
enough,430
took,426
far,426
head,424
yet,419
government,418
system,416
set,414
better,414
told,413
night,411
nothing,411
end,409
why,404
called,401
eyes,401
find,400
going,399
look,399
asked,398
later,397
knew,395
point,395
next,394
program,394
city,393
business,393
group,390
give,389
toward,386
young,385
let,384
days,384
room,384
president,382
side,381
social,380
present,377
given,377
several,377
order,376
national,375
possible,374
rather,373
second,373
face,371
per,371
among,370
form,370
often,369
important,369
things,368
looked,367
early,366
white,365
john,362
case,362
large,361
four,360
need,360
big,360
become,359
within,359
felt,357
children,355
along,355
saw,352
best,351
church,348
ever,344
least,343
power,342
development,334
seemed,333
thing,333
light,333
family,331
interest,330
want,328
members,325
mind,325
area,324
country,324
others,323
although,321
turned,320
done,319
open,318
god,316
service,315
problem,313
certain,313
kind,313
different,312
thus,312
began,312
door,312
help,311
sense,311
means,310
whole,309
matter,308
perhaps,307
itself,304
york,302
times,300
law,299
human,299
line,298
above,296
name,294
example,292
action,291
company,290
hands,289
local,288
show,288
whether,286
five,286
history,286
gave,285
today,284
either,284
act,283
feet,283
across,282
taken,281
past,281
quite,281
anything,280
seen,279
having,279
death,277
experience,276
body,276
week,275
half,275
really,275
word,274
field,274
car,274
words,274
already,273
themselves,270
information,269
tell,268
shall,268
together,267
college,267
money,265
period,265
held,264
keep,264
sure,263
probably,261
free,259
seems,259
political,258
real,258
cannot,258
behind,258
question,257
air,257
office,255
making,255
brought,253
miss,253
whose,251
special,250
major,247
heard,247
problems,247
federal,246
became,246
study,246
ago,246
moment,246
available,245
known,245
result,244
street,244
economic,243
boy,242
position,241
reason,241
change,240
south,240
board,239
individual,239
job,238
am,237
society,237
areas,236
west,235
close,234
turn,233
community,231
true,231
love,231
court,230
force,230
full,230
cost,229
seem,229
wife,228
future,227
age,227
wanted,226
voice,226
department,225
center,224
woman,224
control,223
common,223
policy,222
necessary,222
following,221
front,221
sometimes,221
six,220
girl,220
clear,219
further,218
land,218
provide,216
feel,216
party,216
able,216
mother,216
music,216
education,214
university,214
child,213
effect,213
students,213
level,213
run,212
stood,212
military,212
town,212
short,212
morning,211
total,211
outside,210
rate,209
figure,209
art,208
century,207
class,207
washington,206
north,206
usually,206
plan,205
leave,205
therefore,205
evidence,204
top,204
million,204
sound,204
black,203
strong,202
hard,202
tax,201
various,201
says,200
believe,200
type,200
value,200
play,200
surface,200
soon,199
mean,199
near,198
lines,198
table,198
peace,198
modern,198
road,197
red,197
book,197
personal,196
process,196
situation,196
minutes,196
increase,195
schools,195
idea,195
english,195
alone,195
women,195
gone,195
nor,195
living,194
america,194
started,194
longer,193
cut,192
finally,191
secretary,191
nature,191
private,191
third,190
months,189
section,189
greater,188
call,188
fire,187
expected,187
needed,187
kept,186
ground,186
view,186
values,186
everything,185
pressure,185
dark,185
basis,184
space,184
east,183
father,183
required,182
union,182
spirit,182
complete,182
except,181
wrote,181
moved,181
support,180
return,180
conditions,180
recent,179
attention,179
late,179
particular,179
live,177
hope,177
costs,176
else,176
brown,176
taking,175
forces,175
nations,175
beyond,175
stage,175
read,174
report,174
coming,174
hours,174
person,174
inside,174
dead,174
material,174
instead,173
lost,173
heart,173
looking,173
low,173
miles,173
data,173
added,172
pay,172
amount,172
followed,172
feeling,172
single,172
makes,172
research,171
including,171
basic,171
hundred,171
move,171
industry,171
cold,171
simply,171
developed,170
tried,170
hold,169
reached,169
committee,168
island,167
defense,167
equipment,167
actually,166
shown,166
son,165
central,165
religious,165
river,165
getting,164
beginning,164
sort,164
ten,164
received,163
doing,163
terms,163
trying,163
rest,163
medical,162
care,162
especially,162
friends,162
picture,162
indeed,162
administration,161
fine,161
subject,161
difficult,161
building,160
higher,160
wall,160
simple,160
meeting,159
walked,159
floor,158
foreign,158
bring,158
similar,157
passed,157
range,157
paper,157
property,156
natural,156
final,156
training,156
county,155
police,155
cent,155
international,155
growth,155
market,155
talk,154
start,154
england,154
written,154
hear,153
suddenly,153
story,153
issue,152
congress,152
needs,152
answer,152
hall,152
likely,151
working,151
countries,151
considered,151
earth,150
sat,150
purpose,149
meet,149
labor,149
results,149
entire,149
happened,149
william,148
cases,148
stand,148
difference,148
production,148
hair,148
involved,147
fall,147
stock,147
food,147
earlier,146
increased,146
whom,146
particularly,146
paid,145
sent,145
effort,145
knowledge,145
hour,145
letter,145
club,145
using,145
below,145
thinking,145
yes,144
christian,144
blue,143
ready,143
bill,143
deal,143
points,143
trade,143
certainly,143
ideas,143
industrial,143
square,143
boys,143
methods,142
addition,142
method,142
bad,142
due,142
girls,142
moral,142
decided,141
reading,141
statement,141
weeks,141
neither,141
nearly,141
directly,141
showed,141
throughout,141
according,140
questions,140
color,140
kennedy,140
anyone,140
try,140
services,139
programs,139
nation,139
lay,139
french,139
size,138
remember,138
physical,138
record,137
member,137
comes,137
understand,137
southern,137
western,137
strength,137
population,136
normal,136
merely,135
district,135
volume,135
concerned,135
appeared,135
temperature,135
aid,134
trouble,134
trial,134
summer,134
direction,134
ran,134
sales,133
list,133
continued,133
friend,133
evening,133
maybe,133
literature,133
generally,132
association,132
provided,132
led,132
army,132
met,132
influence,132
opened,131
former,131
science,131
student,131
step,131
changes,131
chance,131
husband,131
hot,130
series,130
average,130
works,130
month,130
cause,130
effective,129
george,129
planning,129
systems,129
direct,129
soviet,129
stopped,129
wrong,129
lead,129
myself,129
piece,129
theory,129
ask,128
worked,128
freedom,128
organization,128
clearly,128
movement,128
ways,128
press,127
somewhat,127
spring,127
efforts,127
consider,127
meaning,127
bed,127
fear,127
lot,127
treatment,127
beautiful,127
note,127
forms,127
placed,126
hotel,126
truth,126
apparently,125
degree,125
groups,125
plant,125
carried,125
wide,125
respect,125
herself,125
numbers,125
manner,124
reaction,124
easy,124
farm,124
immediately,123
running,123
approach,123
game,123
recently,123
larger,123
lower,123
charge,122
couple,122
de,122
daily,122
eye,122
performance,122
feed,122
oh,122
march,121
persons,121
understanding,121
arms,121
opportunity,121
c,121
blood,121
additional,120
technical,120
fiscal,120
radio,120
described,120
stop,120
progress,120
steps,119
test,119
chief,119
reported,119
served,119
based,119
main,119
determined,119
image,119
decision,119
window,119
religion,119
aj,118
gun,118
responsibility,118
middle,118
europe,118
british,118
character,118
learned,117
horse,117
writing,117
appear,117
account,117
ones,116
serious,116
activity,116
types,116
green,116
length,116
lived,115
audience,115
letters,115
returned,115
obtained,115
nuclear,115
specific,115
corner,115
forward,115
activities,115
slowly,115
doubt,114
justice,114
moving,114
latter,114
gives,114
straight,114
hit,114
plane,114
quality,114
design,114
obviously,114
operation,113
plans,113
shot,113
seven,113
choice,113
poor,113
